"","Class","N","Distance","bootsci_high","bootsci_low"
"1","age",17070,0.536789689513767,0.544288224956063,0.529232571763327
"2","color",7204,0.116879511382565,0.12423653525819,0.109522487506941
"3","dimension",14929,0.678009243753768,0.685446111594882,0.670440083059817
"4","material",1628,0.0417690417690418,0.0522113022113022,0.0325552825552826
"5","physical",2472,0.47411003236246,0.493527508090615,0.453883495145631
"6","shape",286,0.234265734265734,0.283216783216783,0.185314685314685
"7","value",6086,0.748931975024647,0.75944791324351,0.738087413736444
