workerid,language,enjoyment,gender,age,comments,asses,education
0,English,1,Male,28,,Yes,3
1,english,2,Male,40,,Yes,3
2,english,1,Male,33,NA,Yes,3
3,English,1,Female,34,,Yes,3
4,english,1,Male,29,,Yes,3
5,English,2,Male,60,none,Yes,2
6,English,2,Male,36,,Yes,2
7,English,2,Male,33,,Yes,3
8,English,1,Female,27,,Yes,3
