date,workerid,amount
Fri Nov 24 13:00:16 PST 2017,A2TVJTQ4VXATE6,1.25
Fri Nov 24 13:01:48 PST 2017,AZZA3J049G7R5,1.25
Fri Nov 24 13:06:59 PST 2017,A1X1IRFYQZ40LD,1.25
Fri Nov 24 13:10:55 PST 2017,A21SIPO89DP66I,1.25
Fri Nov 24 13:11:43 PST 2017,A2YO837C0O1E91,1.25
Fri Nov 24 13:14:46 PST 2017,A1HF64TV3AAOK6,1.25
Fri Nov 24 13:19:15 PST 2017,APY5858P6BTDY,1.25
Fri Nov 24 13:26:50 PST 2017,A3SKEW89V5S0DI,1.25
Fri Nov 24 14:47:22 PST 2017,A25D8MUZP7CQEY,1.25
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
