date,workerid,amount
Fri Nov 24 13:04:36 PST 2017,A399GYOD60WD7M,1.25
Fri Nov 24 13:05:09 PST 2017,A1M682B2WUSYJP,1.25
Fri Nov 24 13:05:57 PST 2017,AVOF14300525D,1.25
Fri Nov 24 13:08:43 PST 2017,A1TJ027T2PLFCU,1.25
Fri Nov 24 13:12:38 PST 2017,A13BZCNJ0WR1T7,1.25
Fri Nov 24 13:15:00 PST 2017,A3VBAQB2WO36Q1,1.25
Fri Nov 24 13:18:13 PST 2017,A3T7N805PVNEXN,1.25
Fri Nov 24 13:23:02 PST 2017,A8TIL9U6YHG5,1.25
Fri Nov 24 13:35:00 PST 2017,A1MNJ1VJEZE8NY,1.25
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
