date,workerid,amount
Fri Nov 24 12:59:40 PST 2017,A1LOUZD99NZCT2,1.25
Fri Nov 24 12:59:51 PST 2017,A2WWYVKGZZXBOB,1.25
Fri Nov 24 13:00:57 PST 2017,A2VQ1WGHLLLNJ1,1.25
Fri Nov 24 13:01:29 PST 2017,A23KAJRDVCVGOE,1.25
Fri Nov 24 13:03:28 PST 2017,A149ROBL26JWPJ,1.25
Fri Nov 24 13:08:24 PST 2017,AVJUIF9QHQRY8,1.25
Fri Nov 24 13:09:39 PST 2017,A3U74S280Z4B0,1.25
Fri Nov 24 14:08:39 PST 2017,A1P0XSCJ9XAV74,1.25
Fri Nov 24 14:45:52 PST 2017,A3QAHF4UUBM7ZO,1.25
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
