workerid,language,enjoyment,gender,age,comments,asses,education
0,english,1,Male,56,,Yes,3
1,English,2,Female,36,,Yes,1
2,English,1,Male,30,,Yes,3
3,English,1,Female,34,,Yes,3
4,english,2,Female,47,,Yes,3
5,english,2,Female,52,,Yes,3
6,English,1,Male,46,,Yes,3
7,English,2,Male,55,,Yes,3
8,,-1,,,,Yes,-1
