"","class","response"
"1","age",0.43296875
"2","color",0.346858237547893
"3","dimension",0.597392550143266
"4","human",0.59906
"5","location",0.344179894179894
"6","material",0.273015873015873
"7","nationality",0.285
"8","other",0.451191919191919
"9","physical",0.496896551724138
"10","shape",0.336969696969697
"11","speed",0.515454545454545
"12","temporal",0.2528125
"13","value",0.673680672268908
