word,av.distance,overlap,age,child p or d
cute,1.0,0,2,directed
gold,0.0,1,2,directed
sleepy,0.0,0,2,directed
young,0.0,1,2,directed
yellow,0.16666666666666666,1,2,directed
bright,0.8,0,2,directed
own,0.6666666666666666,0,2,directed
same,1.0,0,2,directed
skin,1.0,0,2,directed
rough,0.0,0,2,directed
jolly,1.0,0,2,directed
nasty,0.5,0,2,directed
wriggle,0.0,0,2,directed
slop,0.0,0,2,directed
just,0.6666666666666666,0,2,directed
wee,0.375,0,2,directed
rotten,0.0,0,2,directed
black,0.07692307692307693,1,2,directed
pretty,0.95,0,2,directed
orange,0.25,0,2,directed
east,0.0,0,2,directed
smart,0.5,0,2,directed
real,0.9230769230769231,0,2,directed
brown,0.10416666666666667,0,2,directed
good,0.5454545454545454,0,2,directed
waterproof,0.0,0,2,directed
big,0.7975708502024291,0,2,directed
dutch,0.0,0,2,directed
fat,0.0,0,2,directed
albino,1.0,0,2,directed
awful,1.0,0,2,directed
crisp,1.0,0,2,directed
bit,0.0,0,2,directed
handy,1.0,0,2,directed
cool,1.0,0,2,directed
huff,1.0,0,2,directed
fluff,0.0,0,2,directed
looney,0.0,0,2,directed
grey,0.0,0,2,directed
wooden,0.0,1,2,directed
bulge,0.0,0,2,directed
bad,0.06666666666666667,0,2,directed
fuzz,0.0,0,2,directed
small,0.8333333333333334,0,2,directed
soft,0.2,0,2,directed
round,0.0,0,2,directed
mean,0.6666666666666666,0,2,directed
heavy,0.0,0,2,directed
old,0.1111111111111111,1,2,directed
ole,1.0,0,2,directed
hard,0.0,0,2,directed
back,0.0,0,2,directed
horn,0.0,0,2,directed
hair,0.0,0,2,directed
noise,0.5,0,2,directed
dear,1.0,0,2,directed
blue,0.0,1,2,directed
eensie,1.0,0,2,directed
horrid,1.0,0,2,directed
purple,1.0,1,2,directed
sun,0.0,0,2,directed
thirst,1.0,0,2,directed
loll,0.0,0,2,directed
teeny,0.3333333333333333,0,2,directed
sparkle,0.0,0,2,directed
enough,0.0,0,2,directed
horrible,1.0,0,2,directed
podgy,0.0,0,2,directed
new,0.2857142857142857,1,2,directed
red,0.03125,1,2,directed
crunch,0.0,0,2,directed
grease,1.0,0,2,directed
dirt,0.5,0,2,directed
even,1.0,0,2,directed
french,0.0,0,2,directed
wild,0.0,0,2,directed
strong,0.0,0,2,directed
laze,1.0,0,2,directed
shine,0.3333333333333333,0,2,directed
great,1.0,0,2,directed
last,0.0,1,2,directed
whine,1.0,0,2,directed
yum,1.0,0,2,directed
itty,1.0,0,2,directed
puff,0.0,0,2,directed
loud,0.0,0,2,directed
scare,0.0,0,2,directed
first,1.0,0,2,directed
trim,0.0,0,2,directed
naughty,1.0,0,2,directed
love,0.8888888888888888,0,2,directed
point,0.0,0,2,directed
weensie,0.0,0,2,directed
hollow,0.0,0,2,directed
pink,0.0,0,2,directed
long,0.0,1,2,directed
delicious,0.0,0,2,directed
fake,0.0,0,2,directed
chubby,1.0,0,2,directed
thick,0.0,1,2,directed
open,0.0,1,2,directed
little,0.47058823529411764,0,2,directed
faint,1.0,0,2,directed
tiny,0.125,0,2,directed
plastic,0.0,0,2,directed
white,0.25,1,2,directed
bubble,0.0,0,2,directed
empty,0.0,0,2,directed
happy,1.0,0,2,directed
clever,1.0,0,2,directed
brand,1.0,0,2,directed
sore,0.0,0,2,directed
warm,0.2222222222222222,0,2,directed
instant,1.0,0,2,directed
wide,1.0,0,2,directed
wool,0.0,0,2,directed
pretend,0.0,0,2,directed
flip,1.0,0,2,directed
trick,0.0,0,2,directed
silly,0.3333333333333333,0,2,directed
fun,1.0,0,2,directed
loop,1.0,0,2,directed
beautiful,1.0,0,2,directed
flop,0.0,0,2,directed
dandy,0.0,0,2,directed
taste,1.0,0,2,directed
deep,0.0,0,2,directed
sad,0.0,1,2,directed
gentle,1.0,0,2,directed
fashioned,0.0,0,2,directed
sharp,0.3333333333333333,0,2,directed
lamb,0.0,0,2,directed
huge,0.0,0,2,directed
different,0.6666666666666666,1,2,directed
itsy,1.0,0,2,directed
cross,0.0,0,2,directed
snot,0.0,0,2,directed
hot,0.7619047619047619,0,2,directed
sick,1.0,0,2,directed
smell,1.0,0,2,directed
nice,1.0,0,2,directed
poor,1.0,0,2,directed
polar,0.0,0,2,directed
okay,1.0,0,2,directed
pokey,1.0,0,2,directed
smiley,0.0,0,2,directed
vicious,1.0,0,2,directed
wrong,1.0,0,2,directed
bitsy,0.0,0,2,directed
stripe,0.0,0,2,directed
tall,0.0,0,2,directed
darned,1.0,0,2,directed
light,0.0,0,2,directed
medical,0.0,0,2,directed
cheek,1.0,0,2,directed
hungry,0.0,0,2,directed
green,0.03333333333333333,1,2,directed
greed,0.0,0,2,directed
clean,0.21052631578947367,0,2,directed
fresh,0.0,0,2,directed
wind,1.0,0,2,directed
cute,1.0,0,2,produced
just,1.0,0,2,produced
yellow,0.25,1,2,produced
bright,1.0,0,2,produced
through,0.0,0,2,produced
loll,0.0,0,2,produced
wee,0.875,0,2,produced
black,0.6666666666666666,1,2,produced
pretty,0.3333333333333333,0,2,produced
wet,1.0,0,2,produced
orange,0.25,0,2,produced
