adj,freq,class,subjectivity,input_score,lexical_score,sub_score,age,strings
heavy,4,physical,0.5725,0.90000000000000002,0.71420735052111906,0.51151947339550197,3,"big heavy ,big heavy ,big heavy ,big heavy ,"
cute,11,value,0.787272727272727,0.586181640625,0.46115137507132631,0.33637626475527149,3,"cute little ,cute little ,cute little ,little cute ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,"
naughty,3,human,0.723,0.875,0.21326754385964913,0.69106359649122806,3,"naughty little ,naughty little ,naughty little ,"
old,23,age,0.646666666666667,0.21268624382269635,0.20888073514496641,0.00016024675805817345,3,"big old ,fun old ,old grey ,little old ,stupid old ,grand old ,old clever ,right old ,little old ,stupid old ,big old ,yucky old ,yucky old ,merry old ,merry old ,poor old ,poor old ,poor old ,fun old ,old dead ,old little ,merry old ,merry old ,"
just,4,value,0.60125,0.098414999999999947,0.21584466961065374,0.28705752695863629,3,"just dirty ,just plain ,just little ,just little ,"
brown,37,color,0.29875,0.19364453816744936,0.3286408101625593,0.35898887039763255,3,"brown orange ,big brown ,big brown ,big brown ,big brown ,big brown ,little brown ,little brown ,little brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,dark brown ,pretty brown ,small brown ,nice brown ,"
weensie,1,dimension,0.763125,0.1001129150390625,0.0040807056002726341,3.3953392897240362e-05,3,"eensie weensie ,"
hard,1,physical,0.428181818181818,0.75,0.71385542168674698,0.70372398685651705,3,"pretty hard ,"
back,1,location,0.297142857142857,0.25,0.19468784227820374,0.11089813800657174,3,"big back ,"
yellow,28,color,0.343333333333333,0.13061711350482674,0.0801037369701319,0.2938255887131726,3,"little yellow ,bright yellow ,little yellow ,little yellow ,nice yellow ,bright yellow ,big yellow ,big yellow ,big yellow ,big yellow ,big yellow ,big yellow ,big yellow ,big yellow ,little yellow ,little yellow ,big yellow ,nice yellow ,little yellow ,bright yellow ,big yellow ,little yellow ,bright yellow ,yellow green ,yellow green ,yellow white ,little yellow ,nice yellow ,"
high,5,location,0.428181818181818,0.77025462962962954,0.52357238784574867,0.34916833437485162,3,"big high ,big high ,big high ,big high ,big high ,"
pink,3,color,0.1075,0.375,0.093475877192982462,0.011787280701754386,3,"pink tubby ,nice pink ,beautiful pink ,"
dumb,N/A,human,0.794444444444445,0.5,0.5,0.5,3,
tiny,39,dimension,0.414444444444444,0.13194076916304193,0.0047846200823797556,0.14144902865974776,3,"little tiny ,little tiny ,little tiny ,tiny little ,little tiny ,tiny little ,tiny little ,little tiny ,little tiny ,tiny little ,little tiny ,tiny green ,little tiny ,little tiny ,tiny little ,tiny little ,tiny little ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,tiny little ,little tiny ,little tiny ,little tiny ,teeny tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,tiny light ,little tiny ,"
dirty,6,physical,0.504,0.12755102040816324,0.51042824862539382,0.41104927532560659,3,"little dirty ,just dirty ,dirty rotten ,dirty rotten ,dirty rotten ,dirty rotten ,"
