adj,freq,class,subjectivity,input_score,lexical_score,sub_score,age,strings
first,1,temporal,0.141818181818182,0.0625,0.024732959869904366,0.0026587433345771957,4,"mean first ,"
silly,1,human,0.655,0.25,0.19046084434418306,0.6284241057041573,4,"pretty silly ,"
itsy,1,dimension,0.656666666666667,0.75,0.48404769577827911,0.63776990009668066,4,"itsy bitsy ,"
purple,3,color,0.2405,0.015625,0.0063525889384838351,0.0060477096516264751,4,"short purple ,big purple ,blue purple ,"
royal,1,human,0.4925,0.375,0.30837102223176788,0.44671250021680181,4,"royal old ,"
slick,N/A,physical,0.629090909090909,0.5,0.5,0.5,4,
long,29,dimension,0.556428571428571,0.069588526648954291,0.005044871948209774,0.0068062805135833057,4,"big long ,big long ,big long ,big long ,long thin ,big long ,big long ,awful long ,long grey ,pretty long ,big long ,long dark ,big long ,long green ,long green ,long green ,big long ,pretty long ,large long ,large long ,big long ,long beautiful ,big long ,nice long ,awful long ,jolly long ,long thin ,jolly long ,big long ,"
next,1,temporal,0.281,0.5625,0.71019863824566976,0.81540376185178975,4,"back next ,"
late,8,temporal,0.422307692307692,0.83333333333333337,0.1557138232437682,0.27646487536419551,4,"late last ,late last ,late last ,pretty late ,late last ,late last ,late last ,late last ,"
live,1,human,0.174615384615385,0.25,0.19046084434418306,0.060264260393167901,4,"beautiful live ,"
strange,1,value,0.757777777777778,0.75,0.809216886883661,0.720915243312923,4,"strange new ,"
black,7,color,0.269,0.7724761962890625,0.72071559514431793,0.70266726534571067,4,"small black ,small black ,cool black ,little black ,little black ,little black ,little black ,"
pretty,60,value,0.863333333333333,0.84587097760981056,0.45530720361279808,0.66641757811893898,4,"pretty big ,pretty big ,pretty small ,pretty good ,pretty big ,pretty good ,pretty good ,pretty small ,pretty good ,pretty bad ,pretty bad ,pretty smart ,pretty cool ,pretty new ,pretty new ,pretty new ,pretty good ,pretty late ,pretty big ,pretty long ,pretty good ,pretty good ,pretty good ,pretty big ,pretty big ,pretty silly ,pretty big ,pretty big ,pretty little ,pretty little ,pretty little ,pretty little ,pretty little ,pretty little ,pretty big ,pretty long ,pretty heavy ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty heavy ,pretty good ,nice pretty ,pretty good ,pretty good ,pretty good ,nice pretty ,pretty good ,pretty good ,pretty little ,pretty little ,pretty good ,pretty good ,pretty good ,pretty fun ,pretty fancy ,pretty nice ,"
orange,5,color,0.301538461538462,0.4253472222222221,0.20137015253258964,0.24634255430674565,4,"fresh orange ,big orange ,big orange ,orange green ,orange green ,"
new,7,age,0.265,0.010986328125,0.1190145052807879,0.019298209497685358,4,"great new ,beautiful new ,pretty new ,pretty new ,pretty new ,strange new ,chinese new ,"
white,5,color,0.281428571428571,0.64722784850823034,0.66209610538785557,0.60385863921959959,4,"soft white ,soft white ,little white ,soft white ,big white ,"
east,2,location,0.202222222222222,0.83333333333333337,0.83005482102547568,0.92776523702031599,4,"english east ,english east ,"
red,33,color,0.174166666666667,0.21602951369937232,0.08775347932320518,0.043352654088139819,4,"little red ,little red ,little red ,soft red ,soft red ,soft red ,soft red ,red ripe ,soft red ,soft red ,soft red ,soft red ,big red ,big red ,red wild ,little red ,big red ,little red ,little red ,little red ,big red ,red light ,red light ,big red ,little red ,little red ,little red ,big red ,little red ,big red ,little red ,little red ,big red ,"
nice,164,value,0.725833333333333,0.35985856828453316,0.2926894034995382,0.081951998322092823,4,"nice cool ,nice cool ,nice fresh ,nice little ,nice soft ,nice thick ,nice clean ,nice little ,nice clean ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice little ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice soft ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice little ,nice little ,nice little ,nice little ,nice little ,nice little ,nice pretty ,nice long ,nice pretty ,nice little ,nice little ,nice little ,nice cool ,nice gentle ,nice quiet ,nice little ,nice delicious ,nice slow ,nice little ,nice fresh ,nice little ,nice little ,nice little ,nice little ,nice clean ,nice warm ,nice warm ,nice little ,nice big ,nice big ,nice big ,jolly nice ,jolly nice ,nice warm ,nice warm ,nice warm ,nice fluffy ,nice little ,nice fluffy ,jolly nice ,nice little ,nice warm ,nice little ,nice little ,nice warm ,nice warm ,nice little ,nice little ,jolly nice ,nice warm ,nice smart ,jolly nice ,nice warm ,nice little ,jolly nice ,nice warm ,nice little ,nice little ,nice warm ,jolly nice ,nice warm ,jolly nice ,nice little ,pretty nice ,nice little ,"
poor,26,value,0.53,0.94546690037087855,0.53991197498804921,0.087231949852090734,4,"poor little ,poor little ,poor little ,poor young ,poor young ,poor young ,poor young ,poor young ,poor young ,poor young ,poor little ,poor young ,poor young ,poor little ,poor old ,poor old ,poor little ,poor little ,poor little ,poor little ,poor little ,poor old ,poor little ,poor little ,poor little ,poor little ,"
brown,17,color,0.29875,0.03501157407407407,0.029496372480389374,0.047451441832140472,4,"short brown ,small brown ,small brown ,small brown ,big brown ,big brown ,little brown ,awful brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,brown little ,big brown ,big brown ,"
scary,1,value,0.723333333333333,0.75,0.190783113116339,0.31388978407992263,4,"top scary ,"
good,44,value,0.78125,0.24047411725061937,0.034368894095556955,0.066127015266554914,4,"pretty good ,good sad ,pretty good ,pretty good ,pretty good ,good smart ,good big ,pretty good ,good last ,pretty good ,pretty good ,pretty good ,good little ,good little ,good little ,good little ,good little ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,good hot ,good hot ,good hot ,good hot ,good hot ,good hot ,pretty good ,jolly good ,jolly good ,good little ,pretty good ,pretty good ,pretty good ,jolly good ,good little ,good last ,"
huge,6,dimension,0.624285714285714,0.64285714285714279,0.51600387972841899,0.44843194309731649,4,"big huge ,big huge ,big huge ,big huge ,huge silver ,huge back ,"
big,148,dimension,0.691666666666667,0.0074898591197616127,2.347776284244293e-09,0.011130461438713697,4,"pretty big ,pretty big ,big wooden ,little big ,big long ,pretty big ,big long ,big long ,big heavy ,great big ,big long ,big sharp ,big huge ,big bad ,big long ,beautiful big ,big yucky ,big old ,great big ,big long ,big loud ,big loud ,big blue ,big blue ,good big ,big wide ,big round ,big wide ,great big ,great big ,great big ,great big ,big happy ,big fat ,great big ,great big ,great big ,pretty big ,big hollow ,big beautiful ,big long ,big old ,big bad ,big round ,big beautiful ,big long ,great big ,big brown ,big huge ,big strong ,big strong ,great big ,big brown ,pretty big ,big tall ,big tall ,pretty big ,big huge ,great big ,big beautiful ,big brown ,big brown ,big brown ,big brown ,big blue ,big huge ,big fat ,pretty big ,pretty big ,big brown ,big brown ,great big ,big green ,big beautiful ,great big ,big beautiful ,big long ,pretty big ,great big ,big blue ,big brown ,big brown ,big red ,big red ,big long ,big bright ,big red ,big front ,big strong ,big old ,big bad ,great big ,great big ,big fat ,big old ,big long ,big red ,big fat ,big bad ,big bright ,big red ,big fantastic ,great big ,great big ,big red ,great big ,great big ,awful big ,great big ,big yellow ,big orange ,big orange ,big special ,big green ,big dead ,big hard ,big flat ,jolly big ,nice big ,nice big ,nice big ,jolly big ,big red ,big heavy ,big fluffy ,beautiful big ,big tall ,big old ,big fluffy ,big white ,great big ,big purple ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big blue ,big blue ,big yellow ,big red ,great big ,great big ,great big ,big yellow ,big long ,great big ,big fun ,big fun ,"
blue,11,color,0.346666666666667,0.18698627472995821,0.024115086203139853,0.21902057801505592,4,"big blue ,big blue ,blue just ,big blue ,big blue ,big blue ,big blue ,blue purple ,little blue ,little blue ,little blue ,"
giant,N/A,dimension,0.622222222222222,0.5,0.5,0.5,4,
fat,4,dimension,0.619375,0.47829690000000008,0.0097375340059059848,0.0037245119966120852,4,"big fat ,big fat ,big fat ,big fat ,"
quick,N/A,speed,0.561111111111111,0.5,0.5,0.5,4,
bitsy,1,dimension,0.66,0.75,0.51595230422172089,0.36126329358685139,4,"itsy bitsy ,"
mad,N/A,human,0.554285714285714,0.25,0.25,0.25,4,
awful,7,value,0.641666666666667,0.9375,0.81041734066645099,0.61921708185053381,4,"awful long ,awful brown ,awful bad ,awful bad ,awful long ,awful big ,awful hard ,"
last,13,temporal,0.39,0.9642857142857143,0.84540435206235798,0.74407275089314706,4,"wrong last ,late last ,late last ,late last ,good last ,late last ,late last ,late last ,late last ,young last ,young last ,young last ,good last ,"
strong,3,physical,0.64375,0.13493381373857005,0.0073777492070709215,5.1930776994954063e-07,4,"big strong ,big strong ,big strong ,"
super,2,value,0.770833333333333,0.16666666666666663,0.19058368268300552,0.25507900677200901,4,"super fun ,super fun ,"
sorry,N/A,human,0.68,0.5,0.5,0.5,4,
dead,1,human,0.14,0.75,0.80953915565581691,0.94972607154366739,4,"big dead ,"
cool,6,physical,0.678125,0.35714285714285715,0.27869382476559973,0.65664403491755574,4,"nice cool ,cool alright ,nice cool ,pretty cool ,cool black ,nice cool ,"
wide,2,dimension,0.443,0.16666666666666666,0.48403740728797162,0.29184134150274105,4,"big wide ,big wide ,"
