adj,freq,class,subjectivity,input_score,lexical_score,sub_score,age,strings
heavy,7,physical,0.5725,0.9375,0.68753189317911212,0.49464194590916821,2,"pretty heavy ,big heavy ,big heavy ,big heavy ,big heavy ,big heavy ,big heavy ,"
cute,10,value,0.787272727272727,0.86974079639368906,0.65753302594033747,0.46653597843149697,2,"cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,"
naughty,4,human,0.723,0.65610000000000002,0.0022802265895157086,0.26515416722487523,2,"naughty little ,naughty little ,naughty little ,naughty little ,"
old,53,age,0.646666666666667,0.23879313667961824,0.15408800563282701,3.6310727019465635e-05,2,"old next ,good old ,good old ,old empty ,poor old ,good old ,good old ,big old ,merry old ,old wicked ,old dirty ,old dirty ,old dirty ,old dirty ,wee old ,wee old ,wee old ,wee old ,fun old ,fun old ,big old ,big old ,big old ,big old ,big old ,neat old ,big old ,little old ,big old ,little old ,fun old ,fun old ,nasty old ,fun old ,old podgy ,dear old ,old grey ,old grey ,good old ,good old ,good old ,good old ,good old ,good old ,poor old ,poor old ,poor old ,little old ,poor old ,poor old ,little old ,little old ,big old ,"
just,2,value,0.60125,0.027777777777777776,0.75441126972267647,0.35626039908915497,2,"good just ,okay just ,"
brown,91,color,0.29875,0.37921550304521889,0.077252534448699214,0.038619285664676727,2,"big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,little brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,little brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,little brown ,big brown ,brown orange ,brown grey ,brown grey ,big brown ,big brown ,little brown ,little brown ,little brown ,little brown ,little brown ,"
weensie,3,dimension,0.763125,0.13493381373857005,5.732609372758427e-06,8.5163667305916611e-10,2,"eensie weensie ,eensie weensie ,eensie weensie ,"
fluffy,21,physical,0.573333333333333,0.69636316679188581,0.32627071247423578,0.12088015455501237,2,"soft fluffy ,big fluffy ,big fluffy ,big fluffy ,white fluffy ,big fluffy ,white fluffy ,fluffy pink ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,fluffy pink ,big fluffy ,nice fluffy ,"
hard,6,physical,0.428181818181818,0.86224489795918369,0.47261241280869531,0.48484782685190181,2,"jolly hard ,pretty hard ,pretty hard ,big hard ,pretty hard ,pretty hard ,"
back,1,location,0.297142857142857,0.25,0.79307418095399762,0.86640638261755221,2,"back next ,"
yellow,58,color,0.343333333333333,4.8579874752619878e-05,0.046698579159730136,0.22260454698338658,2,"little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,special yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,big yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,round yellow ,little yellow ,big yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,big yellow ,little yellow ,little yellow ,big yellow ,soft yellow ,little yellow ,little yellow ,big yellow ,little yellow ,big yellow ,green yellow ,nice yellow ,big yellow ,"
sad,4,human,0.567777777777778,0.81000000000000005,0.61070838768263713,0.2448441922460296,2,"big sad ,big sad ,big sad ,little sad ,"
high,1,location,0.428181818181818,0.5625,0.62896665649585415,0.48438386473259282,2,"wee high ,"
good,70,value,0.78125,0.32852196495776881,0.039635180422814657,0.1122335398872356,2,"good big ,pretty good ,good little ,good little ,good just ,jolly good ,good old ,good old ,good long ,good long ,good long ,jolly good ,jolly good ,good old ,jolly good ,jolly good ,jolly good ,good long ,mean good ,jolly good ,good old ,good big ,good big ,good long ,jolly good ,good big ,good big ,pretty good ,good little ,good little ,good wee ,pretty good ,good wee ,good wee ,good wee ,good wee ,pretty good ,good fresh ,good black ,pretty good ,pretty good ,good fresh ,good little ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,good old ,good old ,good old ,good old ,good old ,good old ,first good ,good little ,good little ,good last ,pretty good ,pretty good ,good okay ,pretty good ,pretty good ,pretty good ,good little ,pretty good ,pretty good ,pretty good ,"
tiny,80,dimension,0.414444444444444,0.14908547406445941,8.9689248554460893e-07,0.027645827290930469,2,"little tiny ,tiny little ,little tiny ,tiny little ,teeny tiny ,little tiny ,little tiny ,little tiny ,tiny little ,tiny little ,little tiny ,little tiny ,teeny tiny ,teeny tiny ,little tiny ,little tiny ,little tiny ,tiny little ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,wee tiny ,wee tiny ,wee tiny ,wee tiny ,wee tiny ,wee tiny ,wee tiny ,tiny little ,wee tiny ,little tiny ,tiny little ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,tiny little ,little tiny ,little tiny ,tiny little ,little tiny ,tiny little ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,"
close,N/A,location,0.629230769230769,0.5,0.5,0.5,2,
dear,1,value,0.61,0.0023784089542004949,0.051709670985414673,2.1092624838682853e-05,2,"dear old ,"
sharp,2,physical,0.417272727272727,0.125,0.030601605674182696,0.028082413509381735,2,"little sharp ,sharp little ,"
jolly,10,human,0.675714285714286,0.95454545454545459,0.2179465349906351,0.69095862421249787,2,"jolly good ,jolly hard ,jolly good ,jolly good ,jolly good ,jolly good ,jolly good ,jolly good ,jolly good ,jolly long ,"
open,1,dimension,0.422857142857143,0.140625,0.40992423842957137,0.19298751542567721,2,"wide open ,"
nasty,7,value,0.757142857142857,0.31640625,0.75550071535332031,0.5644791148917121,2,"nasty dirty ,nasty little ,nasty old ,nasty little ,big nasty ,big nasty ,big nasty ,"
blue,68,color,0.346666666666667,0.15064668385912439,0.058370308746651466,0.18557017848245408,2,"big blue ,big blue ,nice blue ,nice blue ,blue red ,big blue ,big blue ,nice blue ,big blue ,big blue ,big blue ,blue red ,blue red ,big blue ,nice blue ,nice blue ,blue red ,blue red ,blue red ,big blue ,big blue ,big blue ,big blue ,nice blue ,nice blue ,nice blue ,big blue ,little blue ,big blue ,big blue ,nice blue ,little blue ,nice blue ,nice blue ,nice blue ,little blue ,nice blue ,big blue ,nice blue ,nice blue ,nice blue ,big blue ,nice blue ,nice blue ,big blue ,blue red ,big blue ,blue red ,big blue ,big blue ,nice blue ,nice blue ,nice blue ,blue red ,big blue ,nice blue ,little blue ,pretty blue ,red blue ,red blue ,red blue ,blue grey ,little blue ,pretty blue ,little blue ,big blue ,little blue ,pretty blue ,"
huge,5,dimension,0.624285714285714,0.017817948013544083,1.2802889458888031e-05,1.937143173070534e-06,2,"huge dirty ,big huge ,big huge ,big huge ,pretty huge ,"
