"","class","N","response","bootsci_high","bootsci_low"
"1","age",112,0.599732142857143,0.645895089285714,0.552857142857143
"2","color",168,0.188452380952381,0.226130952380952,0.153452380952381
"3","material",84,0.167619047619048,0.216071428571429,0.12416369047619
"4","quality",56,0.776071428571429,0.832325892857143,0.712678571428571
"5","shape",56,0.222857142857143,0.290535714285714,0.159821428571429
"6","size",168,0.667559523809524,0.702797619047619,0.631190476190476
"7","texture",84,0.57,0.626428571428571,0.512735119047619
