"","new_class","N","Distance","bootsci_high","bootsci_low"
"1","dimension-age-physical",34471,0.593455368280584,0.598590119230658,0.588232862406081
"2","shape-color-material",9118,0.107150690940996,0.113511735029612,0.10078964685238
"3","value",6086,0.748931975024647,0.759776536312849,0.738087413736444
