date,workerid,amount
Fri Nov 02 19:58:34 PDT 2018,A21UA6O7ZFAIQJ,0.3
Fri Nov 02 19:58:56 PDT 2018,A1O7WUQDKPZGH4,0.3
Fri Nov 02 20:00:19 PDT 2018,A2OVX9UW5WANQE,0.3
Fri Nov 02 20:01:24 PDT 2018,AJHNUZ29KW671,0.3
Fri Nov 02 20:02:47 PDT 2018,A1GY6XMHLCXX54,0.3
Fri Nov 02 20:03:30 PDT 2018,A11QRDA1F7IY8U,0.3
Fri Nov 02 20:09:05 PDT 2018,A238KV0ZMJCJ6I,0.3
Fri Nov 02 20:12:31 PDT 2018,AU3327LWY4SU1,0.3
Fri Nov 02 20:19:43 PDT 2018,A2QIWWNL33VJ3J,0.3
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
