workerid,language,enjoyment,gender,age,comments,asses,education
0,English,1,Female,53,,Yes,2
1,English,2,Male,40,fairly subjective but fun,Yes,1
2,English,2,Male,34,,Yes,4
3,English,1,Male,42,,Yes,4
4,English,1,Female,59,none,Yes,3
5,English,2,Male,30,,Yes,3
6,English,2,Male,26,No comments,Yes,2
7,English,1,Female,42,,Yes,2
8,English,2,Male,33,,Yes,2
