class,mean,CI1,CI2,N,age,p/d
temporal,0.27586206896551724,0.15517241379310345,0.37931034482758619,58,3,child-directed
color,0.11320754716981132,0.075471698113207544,0.15094339622641509,265,3,child-directed
age,0.359375,0.234375,0.46875,64,3,child-directed
material,0.0,0.0,0.0,22,3,child-directed
value,0.81028368794326244,0.77482269503546097,0.84042553191489366,564,3,child-directed
shape,0.0,0.0,0.0,16,3,child-directed
other,0.78181818181818186,0.63636363636363635,0.8545454545454545,55,3,child-directed
location,0.0,0.0,0.0,9,3,child-directed
human,0.76190476190476186,0.61904761904761907,0.84126984126984128,63,3,child-directed
nationality,0.66666666666666663,0.1111111111111111,0.88888888888888884,9,3,child-directed
speed,0.5,0.0,0.5,2,3,child-directed
dimension,0.4658792650918635,0.43044619422572178,0.50131233595800528,762,3,child-directed
physical,0.33333333333333331,0.24324324324324326,0.4144144144144144,111,3,child-directed
temporal,0.0,0.0,0.0,2,3,child-produced
color,0.24390243902439024,0.12195121951219512,0.36585365853658536,41,3,child-produced
age,0.23333333333333334,0.10000000000000001,0.36666666666666664,30,3,child-produced
material,0.0,0.0,0.0,1,3,child-produced
value,0.66666666666666663,0.56481481481481477,0.7407407407407407,108,3,child-produced
shape,0.0,0.0,0.0,1,3,child-produced
other,0.66666666666666663,0.3888888888888889,0.83333333333333337,18,3,child-produced
location,0.16666666666666666,0.0,0.33333333333333331,6,3,child-produced
human,0.94444444444444442,0.72222222222222221,1.0,18,3,child-produced
speed,1.0,1.0,1.0,1,3,child-produced
dimension,0.50991501416430596,0.45325779036827196,0.55807365439093481,353,3,child-produced
physical,0.25,0.071428571428571425,0.39285714285714285,28,3,child-produced
