adj,freq,sem_class,mean dis,subjectivity,age,p/d
cute,11,value,0.9090909090909091,0.787272727272727,3,child-directed
just,5,value,1.0,0.60125,3,child-directed
slippery,1,physical,1.0,0.568888888888889,3,child-directed
yellow,28,color,0.10714285714285714,0.343333333333333,3,child-directed
front,1,location,0.0,0.254,3,child-directed
bright,10,color,0.5454545454545454,0.464,3,child-directed
naughty,3,human,1.0,0.723,3,child-directed
rough,5,physical,0.4,0.715,3,child-directed
still,1,other,1.0,0.226666666666667,3,child-directed
perfect,1,value,1.0,0.493,3,child-directed
busy,2,other,1.0,0.683333333333333,3,child-directed
gold,3,color,0.0,0.214166666666667,3,child-directed
wee,8,dimension,1.0,0.762857142857143,3,child-directed
young,1,age,0.0,0.551538461538462,3,child-directed
late,11,temporal,1.0,0.422307692307692,3,child-directed
black,14,color,0.07142857142857142,0.269,3,child-directed
pretty,68,value,0.9571428571428572,0.863333333333333,3,child-directed
nifty,1,value,1.0,0.621538461538461,3,child-directed
orange,5,color,0.2,0.301538461538462,3,child-directed
sorry,1,human,1.0,0.68,3,child-directed
wool,2,material,0.0,0.287,3,child-directed
smart,5,human,0.4,0.596666666666667,3,child-directed
real,1,other,0.0,0.241428571428571,3,child-directed
brown,37,color,0.09090909090909091,0.29875,3,child-directed
good,81,value,0.5294117647058824,0.78125,3,child-directed
tubby,1,dimension,0.0,0.6325,3,child-directed
big,225,dimension,0.5641025641025641,0.691666666666667,3,child-directed
horrible,1,value,1.0,0.64,3,child-directed
fat,3,dimension,0.0,0.619375,3,child-directed
fast,1,speed,0.0,0.57125,3,child-directed
dark,2,color,0.5,0.315,3,child-directed
awful,3,value,1.0,0.641666666666667,3,child-directed
silver,1,color,0.0,0.251111111111111,3,child-directed
cool,4,physical,0.0,0.678125,3,child-directed
wooden,18,material,0.0,0.255454545454545,3,child-directed
large,3,dimension,0.0,0.548181818181818,3,child-directed
bad,5,value,0.0,0.71625,3,child-directed
stupid,2,human,1.0,0.6575,3,child-directed
plain,1,value,0.0,0.571428571428571,3,child-directed
small,10,dimension,0.5,0.513,3,child-directed
soft,5,physical,0.0,0.572222222222222,3,child-directed
round,13,shape,0.0,0.23875,3,child-directed
mean,4,human,0.75,0.712727272727273,3,child-directed
heavy,4,physical,0.0,0.5725,3,child-directed
right,1,value,1.0,0.637777777777778,3,child-directed
old,23,age,0.16666666666666666,0.646666666666667,3,child-directed
fluffy,8,physical,0.0,0.573333333333333,3,child-directed
hard,1,physical,0.0,0.428181818181818,3,child-directed
back,1,location,0.0,0.297142857142857,3,child-directed
dead,1,human,0.0,0.14,3,child-directed
dear,2,value,1.0,0.61,3,child-directed
cold,1,physical,0.0,0.69,3,child-directed
special,2,value,0.6666666666666666,0.68,3,child-directed
blue,22,color,0.3181818181818182,0.346666666666667,3,child-directed
eensie,1,dimension,1.0,0.7175,3,child-directed
purple,7,color,0.0,0.2405,3,child-directed
jolly,13,human,1.0,0.675714285714286,3,child-directed
teeny,12,dimension,0.6666666666666666,0.531818181818182,3,child-directed
rotten,4,value,0.0,0.4425,3,child-directed
dutch,1,nationality,0.0,0.383333333333333,3,child-directed
new,19,age,0.6086956521739131,0.265,3,child-directed
red,23,color,0.0,0.174166666666667,3,child-directed
dirty,6,physical,0.6666666666666666,0.504,3,child-directed
full,1,physical,0.0,0.384444444444444,3,child-directed
cozy,8,value,0.0,0.683333333333333,3,child-directed
pathetic,1,value,0.0,0.687692307692308,3,child-directed
french,1,nationality,0.0,0.278888888888889,3,child-directed
ancient,1,age,1.0,0.444,3,child-directed
merry,4,human,1.0,0.72,3,child-directed
strong,3,physical,0.25,0.64375,3,child-directed
super,7,value,0.14285714285714285,0.770833333333333,3,child-directed
great,68,value,1.0,0.838,3,child-directed
last,27,temporal,0.0,0.39,3,child-directed
brilliant,1,value,1.0,0.68625,3,child-directed
quiet,1,physical,0.5,0.36875,3,child-directed
american,6,nationality,1.0,0.367857142857143,3,child-directed
weird,1,value,1.0,0.815,3,child-directed
narrow,2,dimension,1.0,0.6325,3,child-directed
whole,3,other,1.0,0.353636363636364,3,child-directed
first,3,temporal,0.6666666666666666,0.141818181818182,3,child-directed
golden,1,color,0.0,0.33625,3,child-directed
own,10,other,1.0,0.253333333333333,3,child-directed
dulcet,1,value,0.0,0.608666666666667,3,child-directed
sweet,11,physical,0.9090909090909091,0.724666666666667,3,child-directed
tiny,39,dimension,0.275,0.414444444444444,3,child-directed
oval,3,shape,0.0,0.213333333333333,3,child-directed
plastic,2,material,0.0,0.268,3,child-directed
open,1,dimension,0.0,0.422857142857143,3,child-directed
