adj,freq,sem_class,mean dis,subjectivity,age,p/d
cute,10,value,1.0,0.787272727272727,2,child-directed
just,7,value,0.7,0.60125,2,child-directed
dear,1,value,1.0,0.61,2,child-directed
sleepy,3,human,0.0,0.546,2,child-directed
yellow,61,color,0.015384615384615385,0.343333333333333,2,child-directed
bright,24,color,0.4,0.464,2,child-directed
naughty,4,human,1.0,0.723,2,child-directed
cold,3,physical,0.3333333333333333,0.69,2,child-directed
slow,1,speed,0.0,0.504285714285714,2,child-directed
gold,2,color,0.0,0.214166666666667,2,child-directed
wee,36,dimension,0.5555555555555556,0.762857142857143,2,child-directed
young,42,age,0.0,0.551538461538462,2,child-directed
late,2,temporal,1.0,0.422307692307692,2,child-directed
black,39,color,0.023809523809523808,0.269,2,child-directed
pretty,77,value,0.948051948051948,0.863333333333333,2,child-directed
sweet,2,physical,1.0,0.724666666666667,2,child-directed
orange,12,color,0.14285714285714285,0.301538461538462,2,child-directed
wool,10,material,0.0,0.287,2,child-directed
smart,8,human,1.0,0.596666666666667,2,child-directed
brown,91,color,0.03225806451612903,0.29875,2,child-directed
good,77,value,0.5357142857142857,0.78125,2,child-directed
waterproof,2,physical,0.0,0.192307692307692,2,child-directed
big,513,dimension,0.7407407407407407,0.691666666666667,2,child-directed
dutch,1,nationality,0.0,0.383333333333333,2,child-directed
fat,19,dimension,0.0,0.619375,2,child-directed
awful,11,value,1.0,0.641666666666667,2,child-directed
nasty,7,value,0.5714285714285714,0.757142857142857,2,child-directed
handy,1,value,1.0,0.674166666666667,2,child-directed
cool,3,physical,0.3333333333333333,0.678125,2,child-directed
wooden,20,material,0.0,0.255454545454545,2,child-directed
bad,23,value,0.043478260869565216,0.71625,2,child-directed
stupid,2,human,1.0,0.6575,2,child-directed
small,19,dimension,0.8947368421052632,0.513,2,child-directed
soft,16,physical,0.11764705882352941,0.572222222222222,2,child-directed
round,12,shape,0.08333333333333333,0.23875,2,child-directed
mean,5,human,0.6,0.712727272727273,2,child-directed
heavy,8,physical,0.0,0.5725,2,child-directed
square,2,shape,0.0,0.384285714285714,2,child-directed
old,53,age,0.1864406779661017,0.646666666666667,2,child-directed
polar,1,location,0.0,0.368571428571429,2,child-directed
fluffy,21,physical,0.09523809523809523,0.573333333333333,2,child-directed
hard,6,physical,0.0,0.428181818181818,2,child-directed
back,1,location,1.0,0.297142857142857,2,child-directed
second,2,temporal,0.0,0.0675,2,child-directed
proper,7,value,1.0,0.766666666666667,2,child-directed
rough,1,physical,0.0,0.715,2,child-directed
special,1,value,1.0,0.68,2,child-directed
blue,68,color,0.19444444444444445,0.346666666666667,2,child-directed
eensie,3,dimension,1.0,0.7175,2,child-directed
purple,4,color,0.5,0.2405,2,child-directed
jolly,10,human,1.0,0.675714285714286,2,child-directed
teeny,11,dimension,0.36363636363636365,0.531818181818182,2,child-directed
horrible,4,value,0.75,0.64,2,child-directed
podgy,1,dimension,0.0,0.67,2,child-directed
new,48,age,0.625,0.265,2,child-directed
red,122,color,0.04929577464788732,0.174166666666667,2,child-directed
full,4,physical,0.0,0.384444444444444,2,child-directed
cozy,1,value,0.0,0.683333333333333,2,child-directed
french,8,nationality,0.0,0.278888888888889,2,child-directed
wild,3,value,0.0,0.636428571428571,2,child-directed
merry,1,human,1.0,0.72,2,child-directed
strong,52,physical,0.0,0.64375,2,child-directed
super,1,value,1.0,0.770833333333333,2,child-directed
dry,1,physical,0.0,0.3375,2,child-directed
great,54,value,1.0,0.838,2,child-directed
last,11,temporal,0.0,0.39,2,child-directed
weird,1,value,0.0,0.815,2,child-directed
whole,3,other,1.0,0.353636363636364,2,child-directed
first,9,temporal,0.6666666666666666,0.141818181818182,2,child-directed
golden,1,color,1.0,0.33625,2,child-directed
own,23,other,1.0,0.253333333333333,2,child-directed
weensie,3,dimension,0.0,0.763125,2,child-directed
fancy,3,value,0.25,0.673636363636364,2,child-directed
tiny,80,dimension,0.12345679012345678,0.414444444444444,2,child-directed
delicious,1,value,0.25,0.789285714285714,2,child-directed
fake,1,other,0.0,0.550909090909091,2,child-directed
chubby,4,dimension,1.0,0.723571428571429,2,child-directed
thick,6,dimension,0.8333333333333334,0.596153846153846,2,child-directed
plastic,13,material,0.0,0.268,2,child-directed
open,1,dimension,0.0,0.422857142857143,2,child-directed
little,495,dimension,0.5600706713780919,0.413571428571429,2,child-directed
fast,1,speed,0.0,0.57125,2,child-directed
faint,1,color,1.0,0.475454545454545,2,child-directed
comfy,8,value,0.0,0.789090909090909,2,child-directed
long,40,dimension,0.044444444444444446,0.556428571428571,2,child-directed
next,4,temporal,0.0,0.281,2,child-directed
gorgeous,1,value,1.0,0.891666666666667,2,child-directed
white,28,color,0.29411764705882354,0.281428571428571,2,child-directed
empty,3,physical,0.0,0.371428571428571,2,child-directed
happy,6,human,1.0,0.43,2,child-directed
flat,1,dimension,0.0,0.256,2,child-directed
head,1,other,1.0,0.288,2,child-directed
clever,5,human,1.0,0.640909090909091,2,child-directed
sore,3,other,0.0,0.69,2,child-directed
warm,20,physical,0.37142857142857144,0.6675,2,child-directed
quick,2,speed,0.0,0.561111111111111,2,child-directed
wide,1,dimension,1.0,0.443,2,child-directed
east,2,location,0.0,0.202222222222222,2,child-directed
double,1,other,0.0,0.053,2,child-directed
loud,2,physical,0.0,0.48,2,child-directed
pretend,4,other,0.0,0.435,2,child-directed
smooth,3,physical,0.0,0.59875,2,child-directed
grey,9,color,0.0,0.2810714285714285,2,child-directed
trick,1,other,0.0,0.656428571428571,2,child-directed
neat,6,value,0.6666666666666666,0.582727272727273,2,child-directed
dirty,9,physical,0.2222222222222222,0.504,2,child-directed
fun,14,value,0.8571428571428571,0.872857142857143,2,child-directed
wicked,1,human,0.0,0.674444444444444,2,child-directed
steep,1,physical,0.0,0.58,2,child-directed
beautiful,62,value,1.0,0.935714285714286,2,child-directed
dandy,1,value,0.0,0.729230769230769,2,child-directed
sad,4,human,0.0,0.567777777777778,2,child-directed
high,1,location,0.5,0.428181818181818,2,child-directed
gentle,5,human,0.4,0.573846153846154,2,child-directed
ready,1,other,0.0,0.555555555555556,2,child-directed
sharp,2,physical,0.6666666666666666,0.417272727272727,2,child-directed
pink,6,color,0.5882352941176471,0.1075,2,child-directed
huge,5,dimension,0.2,0.624285714285714,2,child-directed
different,8,other,0.625,0.771428571428571,2,child-directed
instant,2,speed,1.0,0.251111111111111,2,child-directed
itsy,1,dimension,1.0,0.656666666666667,2,child-directed
cross,3,human,0.6666666666666666,0.477142857142857,2,child-directed
same,3,other,1.0,0.30875,2,child-directed
hot,5,physical,0.78125,0.403,2,child-directed
sick,4,other,1.0,0.344285714285714,2,child-directed
silly,3,human,0.3333333333333333,0.655,2,child-directed
nice,227,value,0.9917355371900827,0.725833333333333,2,child-directed
poor,41,value,1.0,0.53,2,child-directed
even,9,other,1.0,0.427142857142857,2,child-directed
okay,3,value,0.6666666666666666,0.88,2,child-directed
smiley,1,human,0.0,0.41,2,child-directed
vicious,1,human,1.0,0.642142857142857,2,child-directed
wrong,1,value,1.0,0.452222222222222,2,child-directed
regular,5,value,1.0,0.651111111111111,2,child-directed
bitsy,1,dimension,0.0,0.66,2,child-directed
fresh,9,age,0.5238095238095238,0.448181818181818,2,child-directed
fierce,2,human,0.0,0.71,2,child-directed
darned,1,other,1.0,0.699166666666667,2,child-directed
short,3,dimension,0.5714285714285714,0.54,2,child-directed
natural,1,other,0.0,0.499,2,child-directed
light,3,physical,0.6666666666666666,0.562,2,child-directed
medical,1,other,0.0,0.3,2,child-directed
hungry,1,human,0.0,0.473333333333333,2,child-directed
green,55,color,0.03636363636363636,0.208461538461538,2,child-directed
clean,23,physical,0.21739130434782608,0.589230769230769,2,child-directed
tall,5,dimension,0.0,0.675882352941176,2,child-directed
weeny,1,dimension,0.0,0.77,2,child-directed
cute,3,value,1.0,0.787272727272727,2,child-produced
just,2,value,1.0,0.60125,2,child-produced
yellow,12,color,0.25,0.343333333333333,2,child-produced
still,1,other,1.0,0.226666666666667,2,child-produced
wee,9,dimension,0.9,0.762857142857143,2,child-produced
black,1,color,0.75,0.269,2,child-produced
pretty,4,value,0.25,0.863333333333333,2,child-produced
orange,4,color,0.25,0.301538461538462,2,child-produced
brown,25,color,0.0,0.29875,2,child-produced
good,4,value,0.25,0.78125,2,child-produced
big,254,dimension,0.8174904942965779,0.691666666666667,2,child-produced
early,2,temporal,1.0,0.628,2,child-produced
nasty,2,value,1.0,0.757142857142857,2,child-produced
wooden,5,material,0.0,0.255454545454545,2,child-produced
