class,mean,CI1,CI2,N,age,p/d
temporal,0.26666666666666666,0.10000000000000001,0.40000000000000002,30,2,child-directed
color,0.11091854419410745,0.086655112651646451,0.1369150779896014,577,2,child-directed
age,0.30588235294117649,0.23529411764705882,0.37058823529411766,170,2,child-directed
material,0.0,0.0,0.0,43,2,child-directed
value,0.84702549575070818,0.81728045325779042,0.86968838526912184,706,2,child-directed
shape,0.071428571428571425,0.0,0.21428571428571427,14,2,child-directed
other,0.78082191780821919,0.65753424657534243,0.84931506849315064,73,2,child-directed
location,0.25,0.0,0.5,8,2,child-directed
human,0.70149253731343286,0.56716417910447758,0.79104477611940294,67,2,child-directed
nationality,0.0,0.0,0.0,10,2,child-directed
speed,0.33333333333333331,0.0,0.66666666666666663,6,2,child-directed
dimension,0.58156547183613749,0.55449890270665692,0.60570592538405266,1367,2,child-directed
physical,0.28399999999999997,0.224,0.33600000000000002,250,2,child-directed
temporal,0.44444444444444442,0.0,0.66666666666666663,9,2,child-produced
color,0.17073170731707318,0.11585365853658537,0.23170731707317074,164,2,child-produced
age,0.20588235294117646,0.058823529411764705,0.3235294117647059,34,2,child-produced
material,0.0,0.0,0.0,8,2,child-produced
value,0.56544502617801051,0.48691099476439792,0.63350785340314131,191,2,child-produced
shape,0.0,0.0,0.0,5,2,child-produced
other,0.63636363636363635,0.27272727272727271,0.81818181818181823,11,2,child-produced
location,0.33333333333333331,0.0,0.66666666666666663,6,2,child-produced
human,0.83870967741935487,0.61290322580645162,0.90322580645161288,31,2,child-produced
nationality,0.0,0.0,0.0,2,2,child-produced
dimension,0.62475049900199597,0.58083832335329344,0.66467065868263475,501,2,child-produced
physical,0.34615384615384615,0.15384615384615385,0.5,26,2,child-produced
