class,mean,CI1,CI2,N,label,binned,age
color,0.111111111,0.031746032,0.222222222,63,directed,no,3
age,0.702702703,0.405405405,1.108108108,37,directed,no,3
material,0,0,0,3,directed,no,3
value,0.9375,0.84375,1.05625,160,directed,no,3
shape,0,0,0,7,directed,no,3
dimension,0.429054054,0.368243243,0.483108108,296,directed,no,3
physical,0.125,0,0.375,8,directed,no,3
color,0.181818182,0.045454545,0.318181818,22,produced,no,3
age,0.178571429,0.035714286,0.392857143,28,produced,no,3
material,0,0,0,1,produced,no,3
value,0.666666667,0.454545455,0.818181818,33,produced,no,3
shape,0,0,0,1,produced,no,3
dimension,0.605263158,0.521052632,0.684210526,190,produced,no,3
physical,0.25,0,0.5,4,produced,no,3
dimension-age-physical,0.451612903,0.390029326,0.516129032,341,directed,yes,3
value,0.9375,0.84375,1.05625,160,directed,yes,3
shape-color-material,0.095890411,0.02739726,0.191780822,73,directed,yes,3
dimension-age-physical,0.545045045,0.468468468,0.621621622,222,produced,yes,3
value,0.666666667,0.454545455,0.818181818,33,produced,yes,3
shape-color-material,0.166666667,0.041666667,0.291666667,24,produced,yes,3
