class,mean,CI1,CI2,N,label
color,0.093220338983050849,0.059322033898305086,0.13135593220338984,236,"child-directed, 2, not binned"
age,0.16867469879518071,0.084337349397590355,0.25301204819277107,83,"child-directed, 2, not binned"
material,0.0,0.0,0.0,9,"child-directed, 2, not binned"
value,0.87962962962962965,0.82407407407407407,0.91666666666666663,216,"child-directed, 2, not binned"
shape,0.0,0.0,0.0,5,"child-directed, 2, not binned"
dimension,0.56537102473498235,0.52296819787985871,0.60424028268551233,566,"child-directed, 2, not binned"
physical,0.21428571428571427,0.0,0.42857142857142855,14,"child-directed, 2, not binned"
color,0.16083916083916083,0.1048951048951049,0.22377622377622378,143,"child-produced, 2, not binned"
age,0.20689655172413793,0.068965517241379309,0.34482758620689657,29,"child-produced, 2, not binned"
material,0.0,0.0,0.0,5,"child-produced, 2, not binned"
value,0.5842696629213483,0.47191011235955055,0.6741573033707865,89,"child-produced, 2, not binned"
shape,0.0,0.0,0.0,5,"child-produced, 2, not binned"
dimension,0.62189054726368154,0.57213930348258701,0.66666666666666663,402,"child-produced, 2, not binned"
physical,0.58333333333333337,0.25,0.75,12,"child-produced, 2, not binned"
dimension-age-physical,0.50829562594268474,0.47058823529411764,0.54449472096530915,663,"child-directed, 2, binned"
value,0.87962962962962965,0.82407407407407407,0.91666666666666663,216,"child-directed, 2, binned"
shape-color-material,0.087999999999999995,0.056000000000000001,0.124,250,"child-directed, 2, binned"
dimension-age-physical,0.5936794582392777,0.54401805869074493,0.63431151241534989,443,"child-produced, 2, binned"
value,0.5842696629213483,0.47191011235955055,0.6741573033707865,89,"child-produced, 2, binned"
shape-color-material,0.15032679738562091,0.091503267973856203,0.20915032679738563,153,"child-produced, 2, binned"
