word,av.distance,overlap,age,child p or d
cute,0.75,0,3,directed
soggy,1.0,0,3,directed
gold,0.0,1,3,directed
less,0.0,0,3,directed
true,1.0,0,3,directed
yellow,0.125,1,3,directed
lonely,1.0,0,3,directed
bright,0.42857142857142855,0,3,directed
rough,1.0,0,3,directed
perfect,1.0,0,3,directed
just,1.0,0,3,directed
rose,0.0,0,3,directed
late,1.0,0,3,directed
black,0.0,1,3,directed
pretty,1.0,0,3,directed
nifty,1.0,0,3,directed
orange,0.0,0,3,directed
sorry,1.0,0,3,directed
east,0.0,0,3,directed
smart,0.5,0,3,directed
real,0.9166666666666666,0,3,directed
brown,0.0,0,3,directed
good,0.5277777777777778,0,3,directed
tubby,0.0,0,3,directed
big,0.6410256410256411,0,3,directed
fat,0.0,0,3,directed
dark,1.0,0,3,directed
awful,1.0,0,3,directed
bit,0.0,0,3,directed
silver,0.0,0,3,directed
special,1.0,0,3,directed
fluff,0.0,0,3,directed
fragile,0.0,0,3,directed
bad,0.0,0,3,directed
fuzz,0.0,0,3,directed
small,0.5,0,3,directed
soft,0.0,0,3,directed
round,0.0,0,3,directed
mean,1.0,0,3,directed
heavy,0.0,0,3,directed
square,0.0,1,3,directed
old,0.1875,1,3,directed
ole,0.0,0,3,directed
hard,0.0,0,3,directed
bounce,0.0,0,3,directed
sex,0.0,0,3,directed
born,0.0,0,3,directed
proper,1.0,0,3,directed
cold,0.0,0,3,directed
creep,1.0,0,3,directed
wonder,1.0,0,3,directed
even,1.0,0,3,directed
eensie,1.0,0,3,directed
jolly,1.0,0,3,directed
teeny,0.625,0,3,directed
sparkle,0.0,0,3,directed
stupid,1.0,0,3,directed
horrible,1.0,0,3,directed
new,0.5555555555555556,1,3,directed
red,0.0,1,3,directed
full,0.0,0,3,directed
pathetic,0.0,0,3,directed
little,0.35374149659863946,0,3,directed
free,1.0,0,3,directed
french,0.0,0,3,directed
merry,1.0,0,3,directed
strong,0.3333333333333333,0,3,directed
super,0.0,0,3,directed
shine,0.42857142857142855,0,3,directed
great,1.0,0,3,directed
last,0.0,1,3,directed
brilliant,1.0,0,3,directed
quiet,0.0,0,3,directed
important,0.0,0,3,directed
whole,1.0,0,3,directed
golden,0.0,0,3,directed
naughty,1.0,0,3,directed
love,1.0,0,3,directed
dulcet,0.0,0,3,directed
sweet,1.0,1,3,directed
pot,0.0,0,3,directed
fancy,1.0,0,3,directed
crawl,0.0,0,3,directed
fast,0.0,1,3,directed
oval,0.0,0,3,directed
next,0.5,0,3,directed
upstairs,0.0,0,3,directed
use,0.0,0,3,directed
ancient,1.0,0,3,directed
damp,0.0,0,3,directed
comfy,0.0,0,3,directed
long,0.14285714285714285,1,3,directed
plastic,0.0,0,3,directed
live,0.0,0,3,directed
white,0.2,1,3,directed
empty,1.0,0,3,directed
wicked,0.0,0,3,directed
flat,0.0,0,3,directed
head,0.0,0,3,directed
sleeved,0.0,0,3,directed
flap,0.0,0,3,directed
warm,1.0,0,3,directed
dead,0.0,0,3,directed
spin,0.0,0,3,directed
spice,0.0,0,3,directed
wool,0.0,0,3,directed
plain,0.0,1,3,directed
straight,0.0,0,3,directed
pretend,0.0,0,3,directed
smooth,0.0,1,3,directed
grey,0.0,0,3,directed
slippery,1.0,0,3,directed
thin,0.3333333333333333,1,3,directed
fun,0.8,0,3,directed
happy,0.875,0,3,directed
beautiful,0.7272727272727273,0,3,directed
weensie,0.0,0,3,directed
high,0.0,0,3,directed
gentle,0.0,0,3,directed
tiny,0.3333333333333333,0,3,directed
fashioned,1.0,0,3,directed
ready,1.0,0,3,directed
sharp,0.0,0,3,directed
pink,0.3333333333333333,0,3,directed
huge,0.2,0,3,directed
