adj,freq,class,subjectivity,best performing,difference lex-sub,input_score,lexical_score,sub_score,age,strings
heavy,7,physical,0.5725,input,0.192889947,0.9375,0.687531893,0.494641946,2,"pretty heavy ,big heavy ,big heavy ,big heavy ,big heavy ,big heavy ,big heavy ,"
cute,10,value,0.787272727,input,0.190997048,0.869740796,0.657533026,0.466535978,2,"cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,"
naughty,4,human,0.723,input,-0.262873941,0.6561,0.002280227,0.265154167,2,"naughty little ,naughty little ,naughty little ,naughty little ,"
old,53,age,0.646666667,input,0.154051695,0.238793137,0.154088006,3.63E-05,2,"old next ,good old ,good old ,old empty ,poor old ,good old ,good old ,big old ,merry old ,old wicked ,old dirty ,old dirty ,old dirty ,old dirty ,wee old ,wee old ,wee old ,wee old ,fun old ,fun old ,big old ,big old ,big old ,big old ,big old ,neat old ,big old ,little old ,big old ,little old ,fun old ,fun old ,nasty old ,fun old ,old podgy ,dear old ,old grey ,old grey ,good old ,good old ,good old ,good old ,good old ,good old ,poor old ,poor old ,poor old ,little old ,poor old ,poor old ,little old ,little old ,big old ,"
just,2,value,0.60125,lexical,0.398150871,0.027777778,0.75441127,0.356260399,2,"good just ,okay just ,"
brown,91,color,0.29875,input,0.038633249,0.379215503,0.077252534,0.038619286,2,"big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,little brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,little brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,little brown ,big brown ,brown orange ,brown grey ,brown grey ,big brown ,big brown ,little brown ,little brown ,little brown ,little brown ,little brown ,"
weensie,3,dimension,0.763125,input,5.73E-06,0.134933814,5.73E-06,8.52E-10,2,"eensie weensie ,eensie weensie ,eensie weensie ,"
fluffy,21,physical,0.573333333,input,0.205390558,0.696363167,0.326270712,0.120880155,2,"soft fluffy ,big fluffy ,big fluffy ,big fluffy ,white fluffy ,big fluffy ,white fluffy ,fluffy pink ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,fluffy pink ,big fluffy ,nice fluffy ,"
hard,6,physical,0.428181818,input,-0.012235414,0.862244898,0.472612413,0.484847827,2,"jolly hard ,pretty hard ,pretty hard ,big hard ,pretty hard ,pretty hard ,"
back,1,location,0.297142857,sub,-0.073332202,0.25,0.793074181,0.866406383,2,"back next ,"
yellow,58,color,0.343333333,sub,-0.175905968,4.86E-05,0.046698579,0.222604547,2,"little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,special yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,big yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,round yellow ,little yellow ,big yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,big yellow ,little yellow ,little yellow ,big yellow ,soft yellow ,little yellow ,little yellow ,big yellow ,little yellow ,big yellow ,green yellow ,nice yellow ,big yellow ,"
sad,4,human,0.567777778,input,0.365864195,0.81,0.610708388,0.244844192,2,"big sad ,big sad ,big sad ,little sad ,"
high,1,location,0.428181818,lexical,0.144582792,0.5625,0.628966656,0.484383865,2,"wee high ,"
good,70,value,0.78125,input,-0.072598359,0.328521965,0.03963518,0.11223354,2,"good big ,pretty good ,good little ,good little ,good just ,jolly good ,good old ,good old ,good long ,good long ,good long ,jolly good ,jolly good ,good old ,jolly good ,jolly good ,jolly good ,good long ,mean good ,jolly good ,good old ,good big ,good big ,good long ,jolly good ,good big ,good big ,pretty good ,good little ,good little ,good wee ,pretty good ,good wee ,good wee ,good wee ,good wee ,pretty good ,good fresh ,good black ,pretty good ,pretty good ,good fresh ,good little ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,good old ,good old ,good old ,good old ,good old ,good old ,first good ,good little ,good little ,good last ,pretty good ,pretty good ,good okay ,pretty good ,pretty good ,pretty good ,good little ,pretty good ,pretty good ,pretty good ,"
tiny,80,dimension,0.414444444,input,-0.02764493,0.149085474,8.97E-07,0.027645827,2,"little tiny ,tiny little ,little tiny ,tiny little ,teeny tiny ,little tiny ,little tiny ,little tiny ,tiny little ,tiny little ,little tiny ,little tiny ,teeny tiny ,teeny tiny ,little tiny ,little tiny ,little tiny ,tiny little ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,wee tiny ,wee tiny ,wee tiny ,wee tiny ,wee tiny ,wee tiny ,wee tiny ,tiny little ,wee tiny ,little tiny ,tiny little ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,tiny little ,little tiny ,little tiny ,tiny little ,little tiny ,tiny little ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,"
close,N/A,location,0.629230769,N/A,0,0.5,0.5,0.5,2,
dear,1,value,0.61,lexical,0.051688578,0.002378409,0.051709671,2.11E-05,2,"dear old ,"
sharp,2,physical,0.417272727,input,0.002519192,0.125,0.030601606,0.028082414,2,"little sharp ,sharp little ,"
jolly,10,human,0.675714286,input,-0.473012089,0.954545455,0.217946535,0.690958624,2,"jolly good ,jolly hard ,jolly good ,jolly good ,jolly good ,jolly good ,jolly good ,jolly good ,jolly good ,jolly long ,"
open,1,dimension,0.422857143,lexical,0.216936723,0.140625,0.409924238,0.192987515,2,"wide open ,"
nasty,7,value,0.757142857,lexical,0.1910216,0.31640625,0.755500715,0.564479115,2,"nasty dirty ,nasty little ,nasty old ,nasty little ,big nasty ,big nasty ,big nasty ,"
