adj,freq,class,subjectivity,best performing,difference lex-sub,input_score,lexical_score,sub_score,age,strings
heavy,4,physical,0.5725,input,0.202687877,0.9,0.714207351,0.511519473,3,"big heavy ,big heavy ,big heavy ,big heavy ,"
cute,11,value,0.787272727,input,0.12477511,0.586181641,0.461151375,0.336376265,3,"cute little ,cute little ,cute little ,little cute ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,"
naughty,3,human,0.723,input,-0.477796053,0.875,0.213267544,0.691063596,3,"naughty little ,naughty little ,naughty little ,"
old,23,age,0.646666667,input,0.208720488,0.212686244,0.208880735,0.000160247,3,"big old ,fun old ,old grey ,little old ,stupid old ,grand old ,old clever ,right old ,little old ,stupid old ,big old ,yucky old ,yucky old ,merry old ,merry old ,poor old ,poor old ,poor old ,fun old ,old dead ,old little ,merry old ,merry old ,"
just,4,value,0.60125,sub,-0.071212857,0.098415,0.21584467,0.287057527,3,"just dirty ,just plain ,just little ,just little ,"
brown,37,color,0.29875,sub,-0.03034806,0.193644538,0.32864081,0.35898887,3,"brown orange ,big brown ,big brown ,big brown ,big brown ,big brown ,little brown ,little brown ,little brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,dark brown ,pretty brown ,small brown ,nice brown ,"
weensie,1,dimension,0.763125,input,0.004046752,0.100112915,0.004080706,3.40E-05,3,"eensie weensie ,"
hard,1,physical,0.428181818,input,0.010131435,0.75,0.713855422,0.703723987,3,"pretty hard ,"
back,1,location,0.297142857,input,0.083789704,0.25,0.194687842,0.110898138,3,"big back ,"
yellow,28,color,0.343333333,sub,-0.213721852,0.130617114,0.080103737,0.293825589,3,"little yellow ,bright yellow ,little yellow ,little yellow ,nice yellow ,bright yellow ,big yellow ,big yellow ,big yellow ,big yellow ,big yellow ,big yellow ,big yellow ,big yellow ,little yellow ,little yellow ,big yellow ,nice yellow ,little yellow ,bright yellow ,big yellow ,little yellow ,bright yellow ,yellow green ,yellow green ,yellow white ,little yellow ,nice yellow ,"
