adj,freq,class,subjectivity,best performing,difference lex-sub,input_score,lexical_score,sub_score,age,strings
eensie,N/A,dimension,0.7175,N/A,0,0.0625,0.0625,0.0625,4,
first,1,temporal,0.141818182,input,0.022074217,0.0625,0.02473296,0.002658743,4,"mean first ,"
silly,1,human,0.655,sub,-0.437963261,0.25,0.190460844,0.628424106,4,"pretty silly ,"
itsy,1,dimension,0.656666667,input,-0.153722204,0.75,0.484047696,0.6377699,4,"itsy bitsy ,"
purple,3,color,0.2405,input,0.000304879,0.015625,0.006352589,0.00604771,4,"short purple ,big purple ,blue purple ,"
royal,1,human,0.4925,sub,-0.138341478,0.375,0.308371022,0.4467125,4,"royal old ,"
slick,N/A,physical,0.629090909,N/A,0,0.5,0.5,0.5,4,
long,29,dimension,0.556428571,input,-0.001761409,0.069588527,0.005044872,0.006806281,4,"big long ,big long ,big long ,big long ,long thin ,big long ,big long ,awful long ,long grey ,pretty long ,big long ,long dark ,big long ,long green ,long green ,long green ,big long ,pretty long ,large long ,large long ,big long ,long beautiful ,big long ,nice long ,awful long ,jolly long ,long thin ,jolly long ,big long ,"
next,1,temporal,0.281,sub,-0.105205124,0.5625,0.710198638,0.815403762,4,"back next ,"
late,8,temporal,0.422307692,input,-0.120751052,0.833333333,0.155713823,0.276464875,4,"late last ,late last ,late last ,pretty late ,late last ,late last ,late last ,late last ,"
live,1,human,0.174615385,input,0.130196584,0.25,0.190460844,0.06026426,4,"beautiful live ,"
strange,1,value,0.757777778,lexical,0.088301644,0.75,0.809216887,0.720915243,4,"strange new ,"
black,7,color,0.269,input,0.01804833,0.772476196,0.720715595,0.702667265,4,"small black ,small black ,cool black ,little black ,little black ,little black ,little black ,"
pretty,60,value,0.863333333,input,-0.211110375,0.845870978,0.455307204,0.666417578,4,"pretty big ,pretty big ,pretty small ,pretty good ,pretty big ,pretty good ,pretty good ,pretty small ,pretty good ,pretty bad ,pretty bad ,pretty smart ,pretty cool ,pretty new ,pretty new ,pretty new ,pretty good ,pretty late ,pretty big ,pretty long ,pretty good ,pretty good ,pretty good ,pretty big ,pretty big ,pretty silly ,pretty big ,pretty big ,pretty little ,pretty little ,pretty little ,pretty little ,pretty little ,pretty little ,pretty big ,pretty long ,pretty heavy ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty heavy ,pretty good ,nice pretty ,pretty good ,pretty good ,pretty good ,nice pretty ,pretty good ,pretty good ,pretty little ,pretty little ,pretty good ,pretty good ,pretty good ,pretty fun ,pretty fancy ,pretty nice ,"
